CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,BLKADDR,City,State,Latitude,Longitude
15058154,THEFT FELONY (OVER $950),42277,0,LARCENY,3,42287.14598,2200 ASHBY AVE,Berkeley,CA,37.855684,-122.263491
15057664,NARCOTICS,42277,0.054861111,DRUG VIOLATION,3,42287.14598,COLLEGE AVENUE & PARKER ST,Berkeley,CA,37.863938,-122.253735
15057944,IDENTITY THEFT,42277,0.588194444,FRAUD,3,42287.14598,1000 MILLER AVE,Berkeley,CA,37.894233,-122.260551
15057848,DISTURBANCE,42277,0.708333333,DISORDERLY CONDUCT,3,42287.14598,2200 RUSSELL ST,Berkeley,CA,37.857099,-122.263785
15057680,BURGLARY AUTO,42277,0.304166667,BURGLARY - VEHICLE,3,42287.14598,1300 NINTH ST,Berkeley,CA,37.879318,-122.297876
15057899,VEHICLE STOLEN,42277,0.791666667,MOTOR VEHICLE THEFT,3,42287.14598,2100 DURANT AVE,Berkeley,CA,37.8667,-122.267614
15057750,THEFT MISD. (UNDER $950),42277,0.541666667,LARCENY,3,42287.14598,1400 HEARST AVE,Berkeley,CA,37.871607,-122.284336
15057821,VEHICLE STOLEN,42277,0.375,MOTOR VEHICLE THEFT,3,42287.14598,1200 HASKELL ST,Berkeley,CA,37.850532,-122.286089
15091811,THEFT MISD. (UNDER $950),42277,0.9375,LARCENY,3,42287.14598,2700 DURANT AVE,Berkeley,CA,37.868352,-122.254459
15057690,VEHICLE STOLEN,42277,0.041666667,MOTOR VEHICLE THEFT,3,42287.14598,1200 OREGON ST,Berkeley,CA,37.855053,-122.286577
15057929,VEHICLE STOLEN,42277,0.791666667,MOTOR VEHICLE THEFT,3,42287.14598,1800 SAN PABLO AVE,Berkeley,CA,37.871368,-122.292954
15091804,BURGLARY AUTO,42277,0.75,BURGLARY - VEHICLE,3,42287.14598,STUART STREET & BENVENUE AVE,Berkeley,CA,37.859918,-122.254574
15057724,ALCOHOL OFFENSE,42277,0.501388889,LIQUOR LAW VIOLATION,3,42287.14598,GILMAN STREET & W FRONTAGE RD,Berkeley,CA,37.878024,-122.30798
15057831,BURGLARY AUTO,42277,0.84375,BURGLARY - VEHICLE,3,42287.14598,DURANT AVENUE & DANA ST,Berkeley,CA,37.867513,-122.26127
15091799,THEFT FELONY (OVER $950),42277,0.5,LARCENY,3,42287.14598,2700 DOHR ST,Berkeley,CA,37.857694,-122.281628
15057875,ROBBERY,42277,0.958333333,ROBBERY,3,42287.14598,3100 ELLIS ST,Berkeley,CA,37.852066,-122.272994
15057720,BURGLARY COMMERCIAL,42277,0.270833333,BURGLARY - COMMERCIAL,3,42287.14598,1500 LE ROY AVE,Berkeley,CA,37.881885,-122.260433
15057684,DISTURBANCE,42277,0.339583333,DISORDERLY CONDUCT,3,42287.14598,1200 UNIVERSITY AVE,Berkeley,CA,37.869384,-122.28953
15057760,NARCOTICS,42277,0.654861111,DRUG VIOLATION,3,42287.14598,2200 SHATTUCK AVE,Berkeley,CA,37.869363,-122.268028
15091798,BURGLARY AUTO,42276,0.489583333,BURGLARY - VEHICLE,2,42287.14598,100 SPINNAKER WAY,Berkeley,CA,37.870287,-122.316238
15057612,SEXUAL ASSAULT FEL.,42276,0.776388889,SEX CRIME,2,42287.14598,2200 HEARST AVE,Berkeley,CA,37.874182,-122.265937
