Time	Category	Latitude	Longitude
0.538194444	LARCENY	37.867157	-122.2678
0.75	LARCENY	37.870054	-122.284263
0.368055556	BURGLARY - RESIDENTIAL	37.893728	-122.281044
0.500694444	ASSAULT	37.873222	-122.293549
0.680555556	ROBBERY	37.869363	-122.268028
0.614583333	WEAPONS OFFENSE	37.853316	-122.278738
0	BURGLARY - RESIDENTIAL	37.873034	-122.275483
0.895833333	BURGLARY - COMMERCIAL	37.855823	-122.247116
0.333333333	LARCENY - FROM VEHICLE	37.862768	-122.297217
0.625	DISORDERLY CONDUCT	37.869363	-122.268028
0.791666667	LARCENY - FROM VEHICLE	37.877528	-122.275956
0.795138889	BURGLARY - VEHICLE	37.851699	-122.276546
0.958333333	ASSAULT	37.866426	-122.269762
0.870833333	ASSAULT	37.850681	-122.270619
0.5625	LARCENY	37.869888	-122.300618
0.541666667	ASSAULT	37.873687	-122.268616
0.530555556	LARCENY	37.871167	-122.268285
0.270833333	ARSON	37.882112	-122.303514
0.333333333	BURGLARY - RESIDENTIAL	37.878386	-122.283778
0.979166667	LARCENY	37.865141	-122.265441
0.5	FRAUD	37.863598	-122.253693
0.041666667	MOTOR VEHICLE THEFT	37.870594	-122.286593
0.959722222	ASSAULT	37.854629	-122.26916
0.730555556	DRUG VIOLATION	37.873034	-122.275483
0.385416667	VANDALISM	37.866327	-122.263359
0.470833333	ROBBERY	37.871167	-122.268285
0.413888889	LARCENY	37.872691	-122.270741
0.899305556	FRAUD	37.868714	-122.259189
0.136111111	BURGLARY - COMMERCIAL	37.880139	-122.2975
0.628472222	LARCENY	37.869888	-122.300618
0.982638889	FRAUD	37.86939	-122.267883
0.941666667	LIQUOR LAW VIOLATION	37.895072	-122.264697
0.09375	BURGLARY - RESIDENTIAL	37.880548	-122.258099
0.399305556	BURGLARY - VEHICLE	37.877398	-122.300707
0.922222222	LARCENY - FROM VEHICLE	37.850399	-122.270893
0.708333333	ASSAULT	37.866919	-122.258812
0.665277778	DISORDERLY CONDUCT	37.857041	-122.253053
0.026388889	LIQUOR LAW VIOLATION	37.873794	-122.290873
0.193055556	ASSAULT	37.852211	-122.286336
0.044444444	NOISE VIOLATION	37.865501	-122.269774
0.958333333	BURGLARY - RESIDENTIAL	37.865205	-122.272027
0.000694444	SEX CRIME	37.870295	-122.268146
0.916666667	BURGLARY - COMMERCIAL	37.875084	-122.26014
0.631944444	LARCENY	37.868108	-122.277222
0.854166667	LARCENY	37.872904	-122.301586
0.833333333	VANDALISM	37.869067	-122.292043
0.25	BURGLARY - VEHICLE	37.866426	-122.269762
0.979166667	BURGLARY - VEHICLE	37.865535	-122.255235
0.666666667	LARCENY - FROM VEHICLE	37.862169	-122.267084
0.817361111	LARCENY	37.88192	-122.269544
0.5	LARCENY	37.877528	-122.275956
0.775	LARCENY	37.88192	-122.269544
0.025	NOISE VIOLATION	37.865202	-122.257795
0.5	FRAUD	37.871167	-122.268285
0.767361111	LARCENY	37.870969	-122.266
0.5	LARCENY - FROM VEHICLE	37.871145	-122.295222
0.583333333	MOTOR VEHICLE THEFT	37.901176	-122.266323
0.684027778	VANDALISM	37.849376	-122.294952
0.834722222	BURGLARY - RESIDENTIAL	37.86456	-122.269954
0	DISORDERLY CONDUCT	37.848357	-122.281521
0.847222222	BURGLARY - VEHICLE	37.863823	-122.252575
0.166666667	MOTOR VEHICLE THEFT	37.853485	-122.272093
0.020833333	ROBBERY	37.875707	-122.297912
0.409722222	ASSAULT	37.869031	-122.256611
0.552083333	BURGLARY - VEHICLE	37.853576	-122.287202
0.014583333	NOISE VIOLATION	37.86939	-122.267883
0.63125	FAMILY OFFENSE	37.853683	-122.261744
0.096527778	DRUG VIOLATION	37.870471	-122.291993
0.732638889	BURGLARY - VEHICLE	37.863353	-122.272097
0.083333333	LARCENY	37.875557	-122.256501
0.842361111	RECOVERED VEHICLE	37.870793	-122.297496
0.25	LARCENY	37.848293	-122.271773
0.5	LARCENY - FROM VEHICLE	37.878552	-122.266844
0.995833333	NOISE VIOLATION	37.863369	-122.257622
0.805555556	BURGLARY - VEHICLE	37.8526	-122.289715
0.375	LARCENY	37.883696	-122.270917
0.875	LARCENY	37.878935	-122.293437
0.875	LARCENY	37.866025	-122.258623
0.833333333	BURGLARY - VEHICLE	37.858608	-122.259302
0.770833333	BURGLARY - VEHICLE	37.870287	-122.316238
0.052083333	NOISE VIOLATION	37.864238	-122.265263
0.0625	LARCENY	37.848293	-122.271773
0.708333333	VANDALISM	37.865711	-122.25389
0.166666667	LARCENY	37.848293	-122.271773
0.833333333	MOTOR VEHICLE THEFT	37.889484	-122.262598
0.19375	SEX CRIME	37.856111	-122.260248
0.8125	BURGLARY - VEHICLE	37.853552	-122.291561
0.083333333	VANDALISM	37.869324	-122.250947
0.770833333	LARCENY	37.869309	-122.25434
0.8375	LIQUOR LAW VIOLATION	37.870295	-122.268146
0.777777778	BURGLARY - VEHICLE	37.863045	-122.317348
0.9875	NOISE VIOLATION	37.864238	-122.265263
0.965277778	VANDALISM	37.873639	-122.27064
0	MOTOR VEHICLE THEFT	37.87553	-122.290541
0.347222222	KIDNAPPING	37.859528	-122.25926
0.708333333	VANDALISM	37.873034	-122.275483
0.083333333	BURGLARY - VEHICLE	37.851495	-122.270827
0.977777778	ROBBERY	37.880836	-122.294048
0.109722222	BURGLARY - VEHICLE	37.856614	-122.267596
0.973611111	NOISE VIOLATION	37.867491	-122.254053
0.5	LARCENY	37.861118	-122.259948
0.575694444	ROBBERY	37.875525	-122.256814
0.493055556	LARCENY	37.880139	-122.2975
0.375	BURGLARY - VEHICLE	37.867709	-122.298467
0.150694444	LARCENY	37.863292	-122.256293
0.655555556	LIQUOR LAW VIOLATION	37.88079	-122.303783
0.791666667	BURGLARY - VEHICLE	37.877715	-122.309618
0.791666667	VANDALISM	37.865121	-122.258455
0	LARCENY	37.868957	-122.254552
0.013888889	VANDALISM	37.867708	-122.250801
0.041666667	FRAUD	37.861078	-122.289632
0.916666667	BURGLARY - VEHICLE	37.865772	-122.267643
0.990277778	NOISE VIOLATION	37.86939	-122.267883
0.458333333	MOTOR VEHICLE THEFT	37.848812	-122.278043
0.411111111	ASSAULT	37.871541	-122.272737
0.666666667	MOTOR VEHICLE THEFT	37.863353	-122.265053
0.771527778	LARCENY	37.853665	-122.252715
0.5	ASSAULT	37.873687	-122.268616
0.630555556	VANDALISM	37.857495	-122.275256
0.708333333	LARCENY	37.870793	-122.297496
0.041666667	LARCENY	37.873885	-122.266332
0	VANDALISM	37.868574	-122.270415
0.361111111	ROBBERY	37.862184	-122.293517
0.355555556	ASSAULT	37.859675	-122.267173
0.034722222	VANDALISM	37.875865	-122.261747
0.55625	LARCENY	37.873865	-122.268641
0.28125	LARCENY - FROM VEHICLE	37.876897	-122.28868
0.416666667	LARCENY	37.860225	-122.269453
0.4375	VANDALISM	37.867501	-122.291709
0.489583333	ROBBERY	37.872691	-122.270741
0.4375	MOTOR VEHICLE THEFT	37.875865	-122.261747
0.166666667	BURGLARY - RESIDENTIAL	37.865202	-122.257795
0.083333333	VANDALISM	37.885381	-122.272269
0.916666667	MOTOR VEHICLE THEFT	37.87553	-122.290541
0.041666667	ASSAULT	37.86066	-122.253407
0.854166667	MOTOR VEHICLE THEFT	37.874308	-122.297407
0.8125	LARCENY	37.873885	-122.266332
0.0625	MOTOR VEHICLE THEFT	37.869921	-122.294825
0.729166667	DRUG VIOLATION	37.860428	-122.290593
0.326388889	SEX CRIME	37.859539	-122.259172
0.8125	MOTOR VEHICLE THEFT	37.852174	-122.267824
0.385416667	SEX CRIME	37.869973	-122.270557
0.434027778	FRAUD	37.873194	-122.2813
0.998611111	MOTOR VEHICLE THEFT	37.876428	-122.291736
0.75	MOTOR VEHICLE THEFT	37.870911	-122.289684
0.520833333	LARCENY	37.868957	-122.254552
0.802083333	BURGLARY - VEHICLE	37.869084	-122.299245
0.739583333	BURGLARY - VEHICLE	37.877715	-122.309618
0.634027778	LARCENY	37.872175	-122.267835
0.605555556	ASSAULT	37.868826	-122.272364
0.791666667	BURGLARY - VEHICLE	37.870911	-122.289684
0.28125	BURGLARY - VEHICLE	37.891337	-122.279986
0.076388889	BURGLARY - VEHICLE	37.879921	-122.271646
0.578472222	BURGLARY - RESIDENTIAL	37.879709	-122.280817
0.263888889	DISORDERLY CONDUCT	37.865748	-122.253396
0.145833333	ROBBERY	37.86331	-122.316113
0.503472222	LARCENY	37.880753	-122.303055
0.791666667	LARCENY	37.864384	-122.290696
0.666666667	LARCENY - FROM VEHICLE	37.873327	-122.273214
0.291666667	LARCENY	37.866561	-122.297216
0.864583333	VANDALISM	37.867157	-122.2678
0.869444444	ROBBERY	37.865149	-122.256487
0.576388889	LARCENY	37.855954	-122.254022
0.604166667	LARCENY	37.870112	-122.26797
0.392361111	LARCENY	37.858116	-122.268002
0.833333333	VANDALISM	37.864584	-122.275705
0.819444444	LARCENY	37.857409	-122.268473
0.589583333	LARCENY	37.870295	-122.268146
0.166666667	BURGLARY - RESIDENTIAL	37.894536	-122.272056
0.708333333	MOTOR VEHICLE THEFT	37.88868	-122.280432
0.593055556	DISORDERLY CONDUCT	37.871541	-122.272737
0.458333333	BURGLARY - VEHICLE	37.874237	-122.273052
0.958333333	BURGLARY - VEHICLE	37.877983	-122.272558
0.503472222	LARCENY	37.867491	-122.254053
0.451388889	LARCENY	37.855	-122.277202
0.666666667	LARCENY	37.869888	-122.300618
0.486111111	BURGLARY - RESIDENTIAL	37.854002	-122.248587
0.631944444	LARCENY	37.853552	-122.291561
0.8125	BURGLARY - COMMERCIAL	37.880139	-122.2975
0.729166667	LARCENY	37.869363	-122.268028
